poblacion,nombre,24/07/2020,25/07/2020,26/07/2020,27/07/2020,28/07/2020,29/07/2020,30/07/2020,31/07/2020,01/08/2020,02/08/2020,03/08/2020,04/08/2020,05/08/2020,06/08/2020,07/08/2020,08/08/2020
1434635,AGUASCALIENTES,72,17,21,69,60,59,59,61,31,17,60,73,49,15,0,1
3634868,BAJA CALIFORNIA,122,74,57,127,112,105,106,106,44,52,95,54,23,27,3,0
804708,BAJA CALIFORNIA SUR,79,54,32,169,152,120,152,101,64,40,161,142,147,107,80,1
1000617,CAMPECHE,80,32,22,64,83,67,60,51,31,29,49,60,43,40,15,0
5730367,CHIAPAS,34,13,14,21,23,19,17,26,15,9,13,26,30,23,5,0
3801487,CHIHUAHUA,63,36,26,52,45,28,24,31,21,16,26,16,10,4,0,0
9018645,DISTRITO FEDERAL,963,448,223,920,908,941,893,833,455,197,776,858,630,286,132,48
3218720,COAHUILA,306,171,92,394,360,295,315,238,212,52,291,329,230,139,99,6
785153,COLIMA,59,31,36,48,68,52,63,42,24,34,72,67,52,27,7,0
1868996,DURANGO,71,21,37,114,92,91,72,90,37,17,99,72,81,88,41,3
6228175,GUANAJUATO,494,201,176,599,606,483,541,404,165,148,485,333,281,226,45,1
3657048,GUERRERO,188,93,88,205,179,138,190,162,106,59,140,156,163,47,10,0
3086414,HIDALGO,121,72,67,129,129,118,130,127,70,76,137,120,130,89,34,0
8409693,JALISCO,192,109,97,202,178,234,200,176,127,99,254,223,229,152,85,1
17427790,MEXICO,568,200,179,600,525,554,450,418,163,155,315,225,121,68,53,0
4825401,MICHOACAN,180,77,55,206,233,207,175,167,73,42,194,161,111,28,1,0
2044058,MORELOS,36,19,20,48,48,41,45,46,17,9,30,35,26,34,21,0
1288571,NAYARIT,77,32,27,72,60,50,54,61,37,30,67,65,57,48,30,0
5610153,NUEVO LEON,541,266,125,187,307,262,327,313,110,91,330,363,311,190,112,10
4143593,OAXACA,150,106,51,159,135,150,125,110,70,24,110,130,70,41,9,0
6604451,PUEBLA,330,213,101,424,310,313,318,234,116,89,271,202,195,127,13,4
2279637,QUERETARO,41,43,30,67,65,60,61,45,36,28,77,54,52,71,44,1
1723259,QUINTANA ROO,155,51,56,165,141,154,117,120,66,71,137,123,99,92,42,1
2866142,SAN LUIS POTOSI,326,196,127,337,299,299,229,305,173,102,279,194,84,5,0,0
3156674,SINALOA,116,64,75,181,142,135,121,87,62,35,108,62,42,23,10,3
3074745,SONORA,146,73,63,170,149,139,128,92,69,57,148,79,21,7,2,0
2572287,TABASCO,432,208,201,451,398,407,341,349,171,110,264,243,267,240,70,0
3650602,TAMAULIPAS,269,135,76,210,188,136,86,99,46,27,56,47,25,5,2,0
1380011,TLAXCALA,76,26,39,98,64,69,69,61,27,16,60,49,38,26,15,0
8539862,VERACRUZ,406,187,229,459,338,339,322,274,146,137,233,184,133,26,3,4
2259098,YUCATAN,240,98,86,231,311,289,368,229,122,80,205,193,164,153,84,2
1666426,ZACATECAS,83,60,28,77,132,73,103,77,49,41,98,86,79,97,50,4
